"○ 월.분기.연간 인구동향(출생,사망,혼인,이혼) [명, 건]",,,
행정구역별,종류별,시점,"출생,사망,혼인,이혼"
전국,출생아수(명),2021.01 월,24894
전국,출생아수(명),2021.02 월,21306
전국,출생아수(명),2021.03 월,23925
전국,출생아수(명),2021.04 월,22703
전국,출생아수(명),2021.05 월,21922
전국,출생아수(명),2021.06 월,21504
전국,출생아수(명),2021.07 월,22364
전국,출생아수(명),2021.08 월,22282
전국,출생아수(명),2021.09 월,21905
전국,출생아수(명),2021.10 월,20749
전국,출생아수(명),2021.11 월,19829
전국,출생아수(명),2021.12 월,17179
전국,출생아수(명),2022.01 월,24637
전국,출생아수(명),2022.02 월,20702
전국,출생아수(명),2022.03 월,23000
전국,출생아수(명),2022.04 월,21164
전국,출생아수(명),2022.05 월,20070
전국,출생아수(명),2022.06 월,18915
전국,출생아수(명),2022.07 월,20475
전국,출생아수(명),2022.08 월,21782
전국,출생아수(명),2022.09 월,21918
전국,출생아수(명),2022.10 월,20646
전국,출생아수(명),2022.11 월,18981
전국,출생아수(명),2022.12 월,16896
전국,조출생률(천명당),2000.01 월,15.37
전국,조출생률(천명당),2000.02 월,15.11
전국,조출생률(천명당),2000.03 월,14.91
전국,조출생률(천명당),2000.04 월,13.64
전국,조출생률(천명당),2000.05 월,13.04
전국,조출생률(천명당),2000.06 월,12
전국,조출생률(천명당),2000.07 월,12
전국,조출생률(천명당),2000.08 월,12.55
전국,조출생률(천명당),2000.09 월,13.56
전국,조출생률(천명당),2000.10 월,13.49
전국,조출생률(천명당),2000.11 월,13.41
전국,조출생률(천명당),2000.12 월,12.56
전국,조출생률(천명당),2001.01 월,14.04
전국,조출생률(천명당),2001.02 월,13.62
전국,조출생률(천명당),2001.03 월,13.43
전국,조출생률(천명당),2001.04 월,12.28
전국,조출생률(천명당),2001.05 월,11.51
전국,조출생률(천명당),2001.06 월,10.62
전국,조출생률(천명당),2001.07 월,10.42
전국,조출생률(천명당),2001.08 월,10.76
전국,조출생률(천명당),2001.09 월,11.59
전국,조출생률(천명당),2001.10 월,11
전국,조출생률(천명당),2001.11 월,10.84
전국,조출생률(천명당),2001.12 월,10.33
전국,조출생률(천명당),2002.01 월,11.97
전국,조출생률(천명당),2002.02 월,11.82
전국,조출생률(천명당),2002.03 월,11.69
전국,조출생률(천명당),2002.04 월,10.99
전국,조출생률(천명당),2002.05 월,10.27
전국,조출생률(천명당),2002.06 월,9.5
전국,조출생률(천명당),2002.07 월,9.87
전국,조출생률(천명당),2002.08 월,9.72
전국,조출생률(천명당),2002.09 월,10
전국,조출생률(천명당),2002.10 월,9.64
전국,조출생률(천명당),2002.11 월,9.57
전국,조출생률(천명당),2002.12 월,8.95
전국,조출생률(천명당),2003.01 월,11.09
전국,조출생률(천명당),2003.02 월,11.32
전국,조출생률(천명당),2003.03 월,11.21
전국,조출생률(천명당),2003.04 월,10.84
전국,조출생률(천명당),2003.05 월,10.02
전국,조출생률(천명당),2003.06 월,9.29
전국,조출생률(천명당),2003.07 월,9.26
전국,조출생률(천명당),2003.08 월,9.27
전국,조출생률(천명당),2003.09 월,10.48
전국,조출생률(천명당),2003.10 월,10.56
전국,조출생률(천명당),2003.11 월,10.25
전국,조출생률(천명당),2003.12 월,9.47
전국,조출생률(천명당),2004.01 월,11.18
전국,조출생률(천명당),2004.02 월,10.7
전국,조출생률(천명당),2004.03 월,11.07
전국,조출생률(천명당),2004.04 월,10.23
전국,조출생률(천명당),2004.05 월,9.48
전국,조출생률(천명당),2004.06 월,9.08
전국,조출생률(천명당),2004.07 월,9.26
전국,조출생률(천명당),2004.08 월,9.32
전국,조출생률(천명당),2004.09 월,9.87
전국,조출생률(천명당),2004.10 월,9.94
전국,조출생률(천명당),2004.11 월,9.41
전국,조출생률(천명당),2004.12 월,8.55
전국,조출생률(천명당),2005.01 월,10.02
전국,조출생률(천명당),2005.02 월,9.6
전국,조출생률(천명당),2005.03 월,9.94
전국,조출생률(천명당),2005.04 월,9.15
전국,조출생률(천명당),2005.05 월,8.7
전국,조출생률(천명당),2005.06 월,8.42
전국,조출생률(천명당),2005.07 월,8.38
전국,조출생률(천명당),2005.08 월,8.7
전국,조출생률(천명당),2005.09 월,9.34
전국,조출생률(천명당),2005.10 월,9
전국,조출생률(천명당),2005.11 월,8.92
전국,조출생률(천명당),2005.12 월,7.99
전국,조출생률(천명당),2006.01 월,9.82
전국,조출생률(천명당),2006.02 월,10.02
전국,조출생률(천명당),2006.03 월,9.93
전국,조출생률(천명당),2006.04 월,9.38
전국,조출생률(천명당),2006.05 월,9.1
전국,조출생률(천명당),2006.06 월,8.8
전국,조출생률(천명당),2006.07 월,8.47
전국,조출생률(천명당),2006.08 월,9.02
전국,조출생률(천명당),2006.09 월,9.57
전국,조출생률(천명당),2006.10 월,9.27
전국,조출생률(천명당),2006.11 월,9.22
전국,조출생률(천명당),2006.12 월,8.37
전국,조출생률(천명당),2007.01 월,10.5
전국,조출생률(천명당),2007.02 월,10.5
전국,조출생률(천명당),2007.03 월,10.46
전국,조출생률(천명당),2007.04 월,9.99
전국,조출생률(천명당),2007.05 월,9.57
전국,조출생률(천명당),2007.06 월,9.19
전국,조출생률(천명당),2007.07 월,9.47
전국,조출생률(천명당),2007.08 월,10.55
전국,조출생률(천명당),2007.09 월,11.1
전국,조출생률(천명당),2007.10 월,10.94
전국,조출생률(천명당),2007.11 월,10.35
전국,조출생률(천명당),2007.12 월,8.78
전국,조출생률(천명당),2008.01 월,11.2
전국,조출생률(천명당),2008.02 월,10.11
전국,조출생률(천명당),2008.03 월,9.89
전국,조출생률(천명당),2008.04 월,9.59
전국,조출생률(천명당),2008.05 월,8.99
전국,조출생률(천명당),2008.06 월,8.66
전국,조출생률(천명당),2008.07 월,9.09
전국,조출생률(천명당),2008.08 월,9.03
전국,조출생률(천명당),2008.09 월,9.88
전국,조출생률(천명당),2008.10 월,9.52
전국,조출생률(천명당),2008.11 월,8.99
전국,조출생률(천명당),2008.12 월,8.27
전국,조출생률(천명당),2009.01 월,10.49
전국,조출생률(천명당),2009.02 월,9.65
전국,조출생률(천명당),2009.03 월,9.46
전국,조출생률(천명당),2009.04 월,9.21
전국,조출생률(천명당),2009.05 월,8.51
전국,조출생률(천명당),2009.06 월,8.36
전국,조출생률(천명당),2009.07 월,8.48
전국,조출생률(천명당),2009.08 월,8.57
전국,조출생률(천명당),2009.09 월,9.35
전국,조출생률(천명당),2009.10 월,8.94
전국,조출생률(천명당),2009.11 월,8.6
전국,조출생률(천명당),2009.12 월,7.95
전국,조출생률(천명당),2010.01 월,10.15
전국,조출생률(천명당),2010.02 월,9.59
전국,조출생률(천명당),2010.03 월,9.68
전국,조출생률(천명당),2010.04 월,9.35
전국,조출생률(천명당),2010.05 월,8.73
전국,조출생률(천명당),2010.06 월,8.78
전국,조출생률(천명당),2010.07 월,8.75
전국,조출생률(천명당),2010.08 월,9.05
전국,조출생률(천명당),2010.09 월,10.29
전국,조출생률(천명당),2010.10 월,10.28
전국,조출생률(천명당),2010.11 월,10.06
전국,조출생률(천명당),2010.12 월,8.37
전국,조출생률(천명당),2011.01 월,11.2
전국,조출생률(천명당),2011.02 월,9.94
전국,조출생률(천명당),2011.03 월,10.18
전국,조출생률(천명당),2011.04 월,9.81
전국,조출생률(천명당),2011.05 월,9.16
전국,조출생률(천명당),2011.06 월,8.93
전국,조출생률(천명당),2011.07 월,8.97
전국,조출생률(천명당),2011.08 월,9.24
전국,조출생률(천명당),2011.09 월,9.45
전국,조출생률(천명당),2011.10 월,9
전국,조출생률(천명당),2011.11 월,9.05
전국,조출생률(천명당),2011.12 월,7.97
전국,조출생률(천명당),2012.01 월,10.57
전국,조출생률(천명당),2012.02 월,10.2
전국,조출생률(천명당),2012.03 월,10.15
전국,조출생률(천명당),2012.04 월,9.73
전국,조출생률(천명당),2012.05 월,9.24
전국,조출생률(천명당),2012.06 월,9.25
전국,조출생률(천명당),2012.07 월,9.41
전국,조출생률(천명당),2012.08 월,9.72
전국,조출생률(천명당),2012.09 월,10.1
전국,조출생률(천명당),2012.10 월,9.81
전국,조출생률(천명당),2012.11 월,9.33
전국,조출생률(천명당),2012.12 월,8.03
전국,조출생률(천명당),2013.01 월,10.32
전국,조출생률(천명당),2013.02 월,9.46
